Stroke (#),Second (#),Distance (m),Work (J),Actual power (W),Average power (W),Actual split (s),Average split (s),Stroke rate (SPM),Heart rate (bpm)
521,1402,4953,24.6,237,136.7,113,136,31.7,154
522,1404,4958,27.1,10,136.7,327,137,22.5,154
523,1407,4965,25.3,9,136.2,338,137,21.9,154
524,1410,4973,15.2,6,135.9,387,137,22.3,153
525,1413,4980,10.1,4,135.7,443,137,22.1,152
526,1418,4993,11.4,4,135.7,443,137,22.1,152
527,1420,5000,18.0,3,134.9,488,137,10.9,151
528,1424,5007,16.5,6,134.7,387,137,21.8,150
529,1426,5012,15.3,6,134.4,387,137,22.1,149
530,1429,5020,13.6,5,134.1,412,137,22.8,148
531,1432,5027,17.4,6,134.1,387,137,20.0,147
532,1435,5035,19.5,7,133.9,368,138,20.8,146
533,1438,5042,14.7,5,133.3,412,138,21.2,145
534,1441,5049,17.8,6,133.1,387,138,20.7,142
535,1452,5067,38.9,12,132.4,307,138,18.0,141
536,1455,5075,99.6,12,132.2,307,138,18.0,138
537,1459,5085,109.1,34,132.2,217,138,18.6,137
538,1463,5096,106.7,30,131.6,226,138,17.0,136
539,1466,5103,16.2,5,131.3,412,138,18.6,135
540,1469,5111,14.5,4,131.3,443,138,17.4,133
541,1473,5121,59.6,16,130.7,279,138,16.3,132
542,1476,5129,69.6,19,130.7,264,139,16.6,129
543,1481,5141,66.6,19,130.1,264,139,16.9,128
544,1484,5149,73.3,20,129.9,259,139,16.0,126
545,1487,5157,69.8,19,129.9,264,139,16.1,125
546,1490,5165,119.7,39,129.5,207,139,19.3,124
547,1493,5173,104.9,34,129.3,217,139,19.3,124
548,1496,5182,127.4,42,129.1,202,139,19.6,123
549,1499,5190,104.5,34,128.9,217,139,19.4,122
550,1502,5198,138.1,50,128.7,191,139,21.8,121
551,1505,5207,131.3,46,128.6,196,139,21.1,121
552,1507,5214,258.5,103,128.6,150,139,23.8,122
553,1509,5221,291.3,134,128.6,137,139,27.6,122
554,1511,5229,319.1,147,128.6,133,139,27.6,123
555,1513,5237,357.4,174,128.7,126,139,29.2,123
556,1515,5245,348.0,168,128.7,127,139,28.9,124
557,1517,5253,371.0,181,128.8,124,139,29.2,124
558,1519,5262,372.5,189,128.9,122,139,30.4,125
559,1521,5270,364.1,184,129.0,123,139,30.3,126
560,1523,5278,369.2,181,129.0,124,139,29.4,127
561,1525,5286,359.5,175,129.1,125,139,29.2,128
562,1527,5295,387.5,191,129.2,122,139,29.5,129
563,1529,5303,360.6,179,129.2,125,139,29.7,129
564,1531,5311,346.9,168,129.2,127,139,29.1,130
565,1533,5319,362.7,177,129.3,125,139,29.2,131
566,1535,5327,378.6,187,129.4,123,139,29.7,131
567,1537,5335,344.4,173,129.4,126,139,30.1,132
568,1539,5343,382.2,186,129.5,123,139,29.2,132
569,1542,5354,384.9,191,129.7,122,139,29.8,133
570,1544,5363,396.1,193,129.8,121,139,29.2,133
571,1545,5368,386.6,193,129.8,121,139,30.0,134
572,1547,5377,363.8,187,129.8,123,139,30.7,134
573,1549,5385,351.9,174,129.9,126,139,29.7,135
574,1551,5393,358.3,181,130.0,124,139,30.3,135
575,1552,5401,353.1,185,130.1,123,139,31.4,135
576,1555,5409,352.2,183,130.2,124,139,31.2,136
577,1557,5417,355.1,177,130.2,125,139,29.8,137
578,1559,5425,341.5,163,130.2,129,139,28.5,137
579,1561,5433,372.2,182,130.3,124,139,29.2,138
580,1563,5441,337.6,172,130.4,126,139,30.6,138
581,1565,5449,373.4,190,130.5,122,139,30.4,139
582,1567,5457,339.0,176,130.5,125,139,31.0,140
583,1569,5465,356.0,185,130.6,123,139,31.2,140
584,1571,5473,383.4,201,130.7,120,139,31.4,141
585,1573,5482,372.6,188,130.8,123,139,30.3,141
586,1575,5490,403.9,209,130.8,118,139,31.0,141
587,1576,5499,399.9,206,130.9,119,139,30.9,142
588,1579,5507,373.3,197,131.0,121,138,31.7,142
589,1581,5515,373.9,191,131.1,122,138,30.6,142
590,1583,5524,382.7,200,131.2,120,138,31.4,142
591,1584,5529,361.8,200,131.2,120,138,33.1,143
592,1586,5538,400.4,213,131.3,118,138,31.9,143
593,1588,5546,390.5,209,131.5,118,138,32.0,144
594,1590,5555,394.1,211,131.6,118,138,32.0,144
595,1592,5563,391.9,212,131.6,118,138,32.4,144
596,1594,5571,363.3,190,131.7,122,138,31.4,145
597,1596,5579,377.7,194,131.8,121,138,30.7,145
598,1598,5587,363.4,199,131.9,120,138,32.7,145
599,1599,5593,381.7,207,131.9,119,138,32.6,146
600,1600,5601,357.4,197,132.1,121,138,33.1,146
601,1603,5610,404.2,214,132.2,117,138,31.7,147
602,1605,5618,404.3,221,132.3,116,138,32.7,148
603,1607,5626,372.9,202,132.3,120,138,32.4,148
604,1609,5635,376.1,202,132.5,120,138,32.2,148
605,1611,5643,381.5,206,132.5,119,138,32.4,148
606,1613,5652,378.8,199,132.6,120,138,31.5,148
607,1614,5657,360.1,187,132.7,123,138,31.0,148
608,1616,5665,358.8,204,132.8,119,138,34.0,149
609,1618,5673,359.0,192,132.8,122,138,32.0,149
610,1620,5681,346.8,180,132.8,124,138,31.0,149
611,1622,5689,370.9,191,133.0,122,138,30.9,149
612,1624,5697,370.2,202,133.1,120,138,32.7,150
613,1626,5706,358.6,195,133.1,121,138,32.6,149
614,1627,5711,340.8,182,133.1,124,138,32.0,150
615,1629,5719,353.7,194,133.3,121,138,32.9,150
616,1631,5727,363.8,202,133.3,120,138,33.3,151
617,1633,5736,399.7,222,133.4,116,138,33.3,151
618,1635,5744,391.4,220,133.5,116,138,33.7,151
619,1636,5750,372.1,214,133.6,117,138,34.4,151
620,1638,5758,354.0,195,133.7,121,138,32.9,151
621,1640,5766,409.2,237,133.8,113,138,34.6,152
622,1642,5775,410.2,234,133.9,114,138,34.2,152
623,1643,5781,382.3,211,133.9,118,138,33.1,152
624,1645,5789,379.9,220,134.1,116,137,34.6,152
625,1647,5798,393.4,223,134.1,116,137,34.0,153
626,1649,5806,423.2,238,134.3,113,137,33.7,153
627,1650,5812,375.5,221,134.4,116,137,35.2,153
628,1652,5820,392.0,228,134.5,115,137,34.8,154
629,1654,5829,389.7,224,134.6,116,137,34.4,154
630,1655,5835,400.5,234,134.6,114,137,35.0,154
631,1657,5843,391.9,228,134.8,115,137,34.8,154
632,1659,5852,417.5,231,134.8,114,137,33.1,154
633,1661,5860,396.0,236,135.0,114,137,35.7,154
634,1662,5866,401.1,237,135.0,113,137,35.5,154
635,1664,5875,397.7,227,135.2,115,137,34.2,155
636,1666,5883,396.0,234,135.2,114,137,35.5,155
637,1668,5891,376.5,208,135.4,118,137,33.1,155
638,1669,5897,414.4,237,135.5,113,137,34.2,155
639,1671,5906,374.5,226,135.6,115,137,36.1,155
640,1673,5914,416.0,235,135.6,114,137,33.8,156
641,1675,5923,413.8,231,135.8,114,137,33.5,156
642,1676,5929,417.8,252,135.9,111,137,36.1,156
643,1678,5937,385.7,222,136.0,116,137,34.4,156
